Name,X,Y,Elevation,Soi properties (main)
TB-1,549699.0411,213765.3279,128.6,reclaimed layer
TB-1,549699.0411,213765.3279,126.6,sedimentary layer
TB-1,549699.0411,213765.3279,117.6,weathered soil
TB-1,549699.0411,213765.3279,108.1,weathered rock
TB-1,549699.0411,213765.3279,94.6,soft rock
TB-2,549766.86,213773.92,129.84,reclaimed layer
TB-2,549766.86,213773.92,128.34,sedimentary layer
TB-2,549766.86,213773.92,107.34,weathered soil
TB-2,549766.86,213773.92,96.94,weathered rock
TB-2,549766.86,213773.92,91.94,soft rock
TB-3,549838.5656,213766.1633,127.98,reclaimed layer
TB-3,549838.5656,213766.1633,113.98,weathered soil
TB-3,549838.5656,213766.1633,102.18,weathered rock
TB-3,549838.5656,213766.1633,92.98,soft rock
TB-4,549909.28,213783.53,132.28,reclaimed layer
TB-4,549909.28,213783.53,113.68,weathered soil
TB-4,549909.28,213783.53,99.78,weathered rock
TB-4,549909.28,213783.53,93.68,soft rock
TB-5,549984.791,213780.543,131.54,reclaimed layer
TB-5,549984.791,213780.543,129.34,sedimentary layer
TB-5,549984.791,213780.543,122.04,weathered soil
TB-5,549984.791,213780.543,110.04,weathered rock
TB-5,549984.791,213780.543,99.14,soft rock
TB-5,549984.791,213780.543,91.84,moderate rock
TB-6,550051.78,213791.06,130.4,reclaimed layer
TB-6,550051.78,213791.06,122.9,weathered soil
TB-6,550051.78,213791.06,101.5,weathered rock
TB-6,550051.78,213791.06,94.6,soft rock
TB-6,550051.78,213791.06,92.9,moderate rock
TB-7,550109.449,213784.997,131.4,reclaimed layer
TB-7,550109.449,213784.997,130.4,sedimentary layer
TB-7,550109.449,213784.997,117.9,weathered soil
TB-7,550109.449,213784.997,105.4,weathered rock
TB-7,550109.449,213784.997,90.9,soft rock
TB-8,550158.97,213796.53,133.43,reclaimed layer
TB-8,550158.97,213796.53,132.53,sedimentary layer
TB-8,550158.97,213796.53,123.23,weathered soil
TB-8,550158.97,213796.53,107.53,weathered rock
TB-8,550158.97,213796.53,101.03,soft rock
TB-8,550158.97,213796.53,91.23,moderate rock
TB-9,550229.189,213792.161,133.78,reclaimed layer
TB-9,550229.189,213792.161,125.78,weathered soil
TB-9,550229.189,213792.161,112.78,weathered rock
TB-9,550229.189,213792.161,104.78,soft rock
TB-9,550229.189,213792.161,93.78,hard rock
TB-10,550300.78,213802.28,134,reclaimed layer
TB-10,550300.78,213802.28,126.8,weathered soil
TB-10,550300.78,213802.28,125.2,weathered rock
TB-10,550300.78,213802.28,107.1,soft rock
TB-10,550300.78,213802.28,93.8,hard rock
TB-11,550368.962,213799.646,134.15,reclaimed layer
TB-11,550368.962,213799.646,131.65,sedimentary layer
TB-11,550368.962,213799.646,126.15,weathered soil
TB-11,550368.962,213799.646,123.65,weathered rock
TB-11,550368.962,213799.646,100.15,soft rock
TB-11,550368.962,213799.646,92.15,moderate rock
TB-12,550438,213806.05,134.2,reclaimed layer
TB-12,550438,213806.05,130.9,sedimentary layer
TB-12,550438,213806.05,127.6,weathered soil
TB-12,550438,213806.05,126.4,weathered rock
TB-12,550438,213806.05,105.7,soft rock
TB-12,550438,213806.05,103.6,moderate rock
TB-12,550438,213806.05,92.6,hard rock
TB-13,550508.381,213805.914,134.71,reclaimed layer
TB-13,550508.381,213805.914,126.71,weathered soil
TB-13,550508.381,213805.914,120.11,weathered rock
TB-13,550508.381,213805.914,100.71,soft rock
TB-13,550508.381,213805.914,90.71,moderate rock
TB-14,550586.88,213815.82,136.07,reclaimed layer
TB-14,550586.88,213815.82,133.07,weathered soil
TB-14,550586.88,213815.82,129.37,weathered rock
TB-14,550586.88,213815.82,116.17,soft rock
TB-14,550586.88,213815.82,90.87,moderate rock
TB-15,550647.923,213813.301,134.85,reclaimed layer
TB-15,550647.923,213813.301,131.35,weathered rock
TB-15,550647.923,213813.301,118.85,soft rock
TB-15,550647.923,213813.301,103.85,moderate rock
TB-15,550647.923,213813.301,88.85,hard rock
TB-16,550708.35,213824.54,135,reclaimed layer
TB-16,550708.35,213824.54,133,weathered soil
TB-16,550708.35,213824.54,123.8,weathered rock
TB-16,550708.35,213824.54,117.9,soft rock
TB-16,550708.35,213824.54,88.6,hard rock
TB-17,550777.981,213821.447,135.35,reclaimed layer
TB-17,550777.981,213821.447,131.35,weathered soil
TB-17,550777.981,213821.447,119.35,weathered rock
TB-17,550777.981,213821.447,100.85,soft rock
TB-17,550777.981,213821.447,94.85,moderate rock
TB-17,550777.981,213821.447,84.35,hard rock
TB-18,550861.27,213832.29,134.84,reclaimed layer
TB-18,550861.27,213832.29,117.44,weathered soil
TB-18,550861.27,213832.29,108.44,weathered rock
TB-18,550861.27,213832.29,89.04,soft rock
TB-18,550861.27,213832.29,84.24,hard rock
TB-19,550918.782,213827.0611,136.2,reclaimed layer
TB-19,550918.782,213827.0611,125.2,weathered soil
TB-19,550918.782,213827.0611,97.2,weathered rock
TB-19,550918.782,213827.0611,94.2,soft rock
TB-19,550918.782,213827.0611,88.7,moderate rock
TB-19,550918.782,213827.0611,80.2,hard rock
TB-20,550975.89,213836.64,137.55,reclaimed layer
TB-20,550975.89,213836.64,129.75,weathered soil
TB-20,550975.89,213836.64,103.65,weathered rock
TB-20,550975.89,213836.64,94.85,soft rock
TB-20,550975.89,213836.64,90.55,moderate rock
TB-20,550975.89,213836.64,80.15,hard rock
TB-21,550615.737,213672.712,132.5,reclaimed layer
TB-21,550615.737,213672.712,112,weathered soil
TB-21,550615.737,213672.712,103.5,weathered rock
TB-21,550615.737,213672.712,90.5,soft rock
TB-21,550615.737,213672.712,87,moderate rock
TB-22,550622.56,213730.7,134.49,reclaimed layer
TB-22,550622.56,213730.7,114.19,weathered soil
TB-22,550622.56,213730.7,104.19,weathered rock
TB-22,550622.56,213730.7,93.69,soft rock
TB-22,550622.56,213730.7,86.99,hard rock
